"cs_gb","cv","gpp_gb","nbp","npp_n_gb","runoff"
156152772359540,67782987866522.9,2276244.52794815,459050771225.547,19118575399634.9,1066616085.53336
1100543963064242,412202697.167339,1.04943026157422,-166933835.05163,9562208.82427532,10217952.4900682
1172428971593278,39383400780.7447,194.509553602624,-155119127.359479,2525934198.17232,1929182.46090999
384602375329243,100897125187583,2727433.48176144,588052387585.665,33488843625556,1481263448.14306
1240635657684918,78724142141708,1211965.30349309,1059935560036.89,21339347606354.4,141770720.657429
953789091847969,263564326987532,3616717.68320102,1325155204416.16,44186320015713.2,792971386.073777
243171869168572,101628201116639,2789110.92721694,205520896117.105,24884545773116.9,1064598066.12039
306531220890068,12735284341190.8,1617448.43079638,-94604050913.076,12650960816817.2,1419761686.45079
471356620278883,23585192684968.6,4088957.26135757,188320647792.917,32053130896576.5,863712447.316102
1340894514628976,361268393627582,4566308.40286562,1536099851689.53,60144115559678.6,877066580.365448
1731106268808268,89501203560848.7,4986207.34184814,924479454879.768,48144342827604.1,1047425357.61513
736228861920976,707123966174042,4675794.22385839,2106500101216.25,63899311602144.2,690172067.862365
710700874983135,109748745419495,3437006.95146065,523554514457.349,36437586630709.1,1142096366.64723
1167759754582876,605226776136670,6769769.94286292,2967568965536.04,124795708299094,853058292.900777
847449704868170,790220919054.385,80044.5788778398,5704799830.82977,517880325429.631,25648908.1605828
463640134640882,614659411750586,6165853.96609574,1808557425783.99,49939108055078.3,909856475.525452
610628422896904,1254988432600.98,34111.8679511209,5622584485.52151,334766814718.151,165628494.37944
892177663998787,212534301887128,3357435.68863655,1123984623319.58,39468852098699.8,945696730.369671
382553502208922,286776636133567,2182872.5827026,821616248872.6,26709485503139,1322123640.55667
1517691349259540,530872126525974,3742367.56747656,1915901260665.54,44441179049469.8,876898953.516927
559522652870252,9622227337488.42,2097946.87162302,235780433767.433,28771649151603,1237984616.0241
334121149106056,48584198523214.4,3524827.47744452,229699429662.931,30229728257341.5,976939469.740196
1549268733467595,425390030605808,5057117.99313958,1726524086320.42,74402432418618.2,1075651019.71058
954549779000213,50057233767439.8,3999788.5915083,38415256977.7115,57917834132702.7,1065483112.82931
842932572534637,355086261273661,2449094.49364827,1541287412129.3,44240448414410.9,1099667852.13757
1100349595822862,58861833394486.9,2324642.46666942,307560203417.573,24284821441254.6,1073115653.83267
219448484505472,18963281612988.9,2444850.41195431,85613536021.2744,20321656668276,1456285882.99039
21363558718208.2,1067120749417.16,199059.929053334,-7921169536.89761,2111209210743.43,1457233135.41849
337966306981310,25342913116803.9,4533654.00888218,384500187863.923,31573429146432.5,1017826695.12508
301542689345582,13883184707713.7,1722395.2775364,-12466892531.7213,29098545582120.3,1354114666.37801
535376324199631,212840952266188,2412848.04334927,972026959292.901,30927371424054.9,852971795.586535
977972325691688,21368583737.4377,2633.3045179606,1354212438.14393,32363577372.8665,3839684.47411172
1036920162454838,64484777513.065,1164.679901803,1013071209.86648,18834148835.7412,8288941.75514803
1311057982160318,103855791623719,4671765.53842774,346793817867.627,61779523615718.4,789355023.388094
1139959501219760,41538858798253.9,3235467.15948845,87336306534.771,43070987955189,1153215751.08757
63352264635408.4,4814114558130.11,228654.605010255,4733402992.88752,3905726848620.53,1530500958.88285
532327076262596,18649014250634.1,4524258.76846731,-124872321808.359,47873604802706.3,1092857536.69288
1206662583188221,711123357671345,5529559.3522644,3546430812190.4,65330767316666.6,783886105.75115
267176739425266,62531640007020.7,3315699.72638929,133358336345.916,40488277896755.9,1463617493.1567
1095275998668856,11181204686302.3,564781.331359922,207476276832.784,7166302287453.11,114147695.18842
1081427295721644,37505041436622.4,252893.549593759,537055327247.676,3714807459218.36,119842820.679639
388418490330449,215598969556986,2939025.53766988,1150241093361.55,39940061362504.1,1075543312.06227
287242385567544,17357499114988,2365051.62006029,97829901353.0908,32284709934519.4,1007457272.26229
192017562860891,151629709413302,2057502.02170662,420481747639.704,23454249235792.4,1154646457.37252
975389273747754,217007725282.795,32212.6132663092,5573798626.10378,319876645125.493,7549029.96396908
1205709741587780,528248379864453,3100316.87397866,2453472937459.19,53127501985414.9,637545328.073974
857677747865691,398806031110564,3115760.16434401,1530922685928.34,28237742526836.1,841856524.181937
